title,genre,poster_url,popularity ,rating
Inception,Sci-Fi,https://upload.wikimedia.org/wikipedia/en/2/2e/Inception_%282010%29_theatrical_poster.jpg,92,8.8
The Dark Knight,Action,https://upload.wikimedia.org/wikipedia/en/1/1c/The_Dark_Knight_%282008_film%29.jpg,97,9
Interstellar,Sci-Fi,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10543523_p_v8_as.jpg,95,8.6
The Prestige,Drama,https://upload.wikimedia.org/wikipedia/en/d/d2/Prestige_poster.jpg,89,8.5
Tenet,Sci-Fi,https://m.media-amazon.com/images/M/MV5BYjI0NDQzYmEtNzMwZC00ODA3LTgzZDYtZTk5ODZjY2Y2OTkzXkEyXkFqcGc@._V1_.jpg,96,8.4
Avengers: Endgame,Action,https://m.media-amazon.com/images/I/81ExhpBEbHL._AC_SY679_.jpg,94,8.7
Iron Man,Action,https://upload.wikimedia.org/wikipedia/en/0/02/Iron_Man_%282008_film%29_poster.jpg,90,8.2
The Matrix,Sci-Fi,https://m.media-amazon.com/images/I/51EG732BV3L._AC_.jpg,88,8.3
John Wick,Action,https://upload.wikimedia.org/wikipedia/en/9/98/John_Wick_TeaserPoster.jpg,93,8.5
Gladiator,Drama,https://upload.wikimedia.org/wikipedia/en/f/fb/Gladiator_%282000_film_poster%29.png,87,8
The Lion King,Animation,https://upload.wikimedia.org/wikipedia/en/3/3d/The_Lion_King_poster.jpg,86,8.3
Zootopia,Animation,https://upload.wikimedia.org/wikipedia/en/9/96/Zootopia_%28movie_poster%29.jpg,84,8.2
Frozen,Animation,https://upload.wikimedia.org/wikipedia/en/0/05/Frozen_%282013_film%29_poster.jpg,91,8.4
Inside Out,Animation,https://upload.wikimedia.org/wikipedia/en/0/0a/Inside_Out_%282015_film%29_poster.jpg,89,8.6
Up,Animation,https://upload.wikimedia.org/wikipedia/en/0/05/Up_%282009_film%29.jpg,90,8.1
Toy Story,Animation,https://upload.wikimedia.org/wikipedia/en/1/13/Toy_Story.jpg,85,8
Coco,Animation,https://upload.wikimedia.org/wikipedia/en/9/98/Coco_%282017_film%29_poster.jpg,88,7.9
Finding Nemo,Animation,https://upload.wikimedia.org/wikipedia/en/2/29/Finding_Nemo.jpg,92,8.7
Moana,Animation,https://upload.wikimedia.org/wikipedia/en/2/26/Moana_Teaser_Poster.jpg,83,8.1
Avengers,Action,https://upload.wikimedia.org/wikipedia/en/4/4d/Avengers_Infinity_War_poster.jpg,82,8
